Name,Hash,Type,Files,EXE,Tested,Implemented
JumpWalk,0x25a7fb4b,Edge,tpp,tpp,tpp,tpp
Kill,0x64ca1b39,Node,tpp,tpp,tpp,tpp
Move,0xfa82af39,Edge,tpp,tpp,tpp,tpp
MoveFast,0x0bab841a,Edge,tpp,tpp,tpp,tpp
MoveNormal,0x6366befd,Edge,tpp,tpp,tpp,tpp
MoveSlow,0xe2647436,Edge,tpp,tpp,tpp,tpp
MoveVeryFast,0xf5e07db3,Edge,tpp,tpp,tpp,tpp
None,0x0641ed18,Edge,tpp,tpp,tpp,tpp
Normal,0xc8f4fcb6,Edge,tpp,tpp,tpp,tpp
OnBaseRoute,0x58e54a15,Node,tpp,tpp,tpp,tpp
OnTheHill,0xa00447c1,Node,tpp,tpp,tpp,tpp
OpenDoor,0x91cab03b,Node,tpp,tpp,tpp,tpp
Peep1,0x4a35ea17,Node,tpp,tpp,tpp,tpp
Peep2,0xaf684742,Node,,tpp,,
Peep3,0xbf15a25b,Node,,tpp,,
PeepLeft,0x557b11ac,Node,,tpp,,
PeepRight,0xf16295d5,Node,,tpp,,
PermitGettingOff,0x2b71cfd7,Edge,tpp,tpp,tpp,tpp
PermitToGetOff,0x8bae271d,Node,tpp,tpp,tpp,tpp
PickUpHoneyBee,0x91745efb,Node,tpp,tpp,tpp,tpp
PileBunker,0x8fc90826,Node,tpp,tpp,tpp,tpp
PutDownHoneyBee,0xdd3f3f69,Node,tpp,tpp,tpp,tpp
PutHostageInVehicle,0xa8a8c075,Node,tpp,tpp,tpp,tpp
Recovery,0xb93bb366,Node,tpp,tpp,tpp,tpp
RelaxedIdleAct,0xef94dd47,Node,tpp,tpp,tpp,tpp
RelaxedRun,0xa6f6bf5c,Edge,tpp,tpp,tpp,tpp
RelaxedStandIdle,0xeafe50df,Node,tpp,"tpp,ssd",tpp,tpp
RelaxedStandWalk,0x15519c06,Edge,tpp,tpp,tpp,tpp
RelaxedStandWalkAct,0xd90e0e31,Edge,tpp,tpp,tpp,tpp
RelaxedWalk,0x596c1d5a,Edge,tpp,tpp,tpp,tpp
RelaxedWalkAct,0x57c44b72,Edge,tpp,tpp,tpp,tpp
RideVehicle,0x629e609b,Node,tpp,tpp,tpp,tpp
RouteMove,0xbdf0061a,Edge,tpp,tpp,tpp,tpp
RouteMoveFree,0x0d6cab20,Edge,tpp,tpp,tpp,tpp
RunOnly,0x0b6183e0,Edge,tpp,tpp,tpp,tpp
RunWalk,0xfd5d954a,Edge,tpp,tpp,tpp,tpp
Salute,0x9e2366c9,Node,tpp,tpp,tpp,tpp
SaluteGreeting,0xdef9ae39,Node,tpp,tpp,tpp,tpp
SearchMissile,0xb31fe589,Node,tpp,tpp,tpp,tpp
SendMessage,0x8706030d,Node,tpp,tpp,tpp,tpp
SetTargetSpeed,0x520178df,Node,tpp,tpp,tpp,tpp
SitInChair,0x9c020434,Node,tpp,tpp,tpp,tpp
SkullFaceStandByVehicle,0xa69f808f,Node,tpp,tpp,tpp,tpp
SleepOnSofa,0xdc55db23,Node,tpp,tpp,tpp,tpp
Snipe,0xa585c417,Node,tpp,tpp,tpp,tpp
StairsDown,0x94e22019,Edge,tpp,tpp,tpp,tpp
StandIdle,0x78a1853e,Node,tpp,tpp,tpp,tpp
StandSearch,0x2332d9f5,Node,tpp,tpp,tpp,tpp
StandWalk,0xe92bcf7a,Edge,,tpp,,
SupineSnipe,0xbe536700,Node,tpp,tpp,tpp,tpp
SwitchRoute,0x16fc28d4,Node,tpp,tpp,tpp,tpp
SyncRoute,0xc8dd6588,Node,tpp,tpp,tpp,tpp
TakeHostageOutOfVehicle,0x93e3fb7d,Node,tpp,tpp,tpp,tpp
UseFlashLight,0xe1234074,Node,tpp,tpp,tpp,tpp
UseFlashLightAlways,0x6fc479d7,Node,tpp,tpp,tpp,tpp
UseSearchLight,0x355903f4,Node,tpp,tpp,tpp,tpp
Vanish,0x1ee7b1fb,Node,tpp,tpp,tpp,tpp
VehicleAntiPlayerFire,0x9f695b52,Node,tpp,tpp,tpp,tpp
VehicleBackFast,0x161078f0,Edge,tpp,tpp,tpp,tpp
VehicleBackNormal,0xbc2d1d7f,Edge,tpp,tpp,tpp,tpp
VehicleBackSlow,0x3560b402,Edge,tpp,tpp,tpp,tpp
VehicleDir,0x1ebf96ee,Node,gz,gz,gz,gz
VehicleFire,0xbc1e2c81,Node,tpp,tpp,tpp,tpp
VehicleGetIn,0x0601bd97,Node,tpp,tpp,tpp,tpp
VehicleGetOff,0x33220e1c,Node,tpp,tpp,tpp,tpp
VehicleGetOut,0x10837f25,Node,tpp,tpp,tpp,tpp
VehicleIdle,0x75abae82,Node,tpp,tpp,tpp,tpp
VehicleKmPerHour,0x0274ba40,Edge,tpp,tpp,tpp,tpp
VehicleMoveFast,0xcfd98902,Edge,tpp,tpp,tpp,tpp
VehicleMoveNormal,0xfdcf6771,Edge,tpp,tpp,tpp,tpp
VehicleMoveSlow,0xc48fd004,Edge,tpp,tpp,tpp,tpp
Wait,0x217e1f18,Node,tpp,tpp,tpp,tpp
WaitIdle,0xafc35aab,Node,tpp,tpp,tpp,tpp
Walk,0x234519ee,Edge,tpp,tpp,tpp,tpp
WalkOnly,0x7dfd69db,Edge,tpp,tpp,tpp,tpp
WalkerGearCautionDash,0xf1dffc4e,Edge,tpp,tpp,tpp,tpp
WalkerGearCautionIdle,0xff8dd83c,Node,tpp,tpp,tpp,tpp
WalkerGearCautionRun,0x9e620826,Edge,tpp,tpp,tpp,tpp
WalkerGearCautionWalk,0x77fa77e4,Edge,tpp,tpp,tpp,tpp
WalkerGearGetIn,0x308987da,Node,ssd,"tpp,ssd",ssd,ssd
WalkerGearGetOut,0x2f00ec35,Node,ssd,"tpp,ssd",ssd,ssd
WalkerGearRelaxedIdle,0x3a994f4e,Node,tpp,tpp,tpp,tpp
WalkerGearRelaxedRun,0x1d25bd30,Edge,tpp,tpp,tpp,tpp
WalkerGearRelaxedWalk,0x4e87f5a9,Edge,tpp,tpp,tpp,tpp
chase,0x2fede452,Edge,tpp,tpp,tpp,tpp
move,0x15f82e18,Edge,tpp,tpp,tpp,tpp
,0xd5f75342,Node,"tpp,gz",gz,tpp,
,0x8c960491,Node,tpp,,tpp,
,0x2ecea22,Node,,"tpp,ssd",,
,0x92d87ac,Node,,"tpp,ssd",,
,0xd88980f,Node,,"tpp,ssd",,
,0x12d22784,,,ssd,,
,0xab1c0c56,,,ssd,,
